timestamp,dataset_path,relative_time,semi_transductive,heterogenous_msg_passing,batch_size,num_epochs,learning_rate,emb_dim,hidden_dim,time_dim,identity_dim,train_loss,val_loss,test_loss,train_AUC,val_AUC,test_AUC,train_AP,val_AP,test_AP,run,num_params
2023-12-11 21:53:48,data/act-mooc/graph.pt,True,True,True,512,5,0.0001,100,100,100,100,1.040339708328247,0.9122145771980286,0.8965458869934082,0.6673702281600769,0.740409227363561,0.7216034415164712,0.017607010054922042,0.023197967034283187,0.025807932038875422,0,183801
2023-12-11 21:59:37,data/act-mooc/graph.pt,True,True,False,512,5,0.0001,100,100,100,100,0.9717669486999512,0.972903847694397,0.9724669456481934,0.5049503285452447,0.5093765982564824,0.5150070462082923,0.010417082821873648,0.008936264792299923,0.009842747911759141,0,142201
2023-12-11 22:06:26,data/act-mooc/graph.pt,True,False,True,512,5,0.0001,100,100,100,100,1.0253677368164062,0.9003810882568359,0.8858630657196045,0.6662501199323208,0.7429037251953798,0.7172523390232789,0.017224817299815152,0.021066385061608853,0.0244098213145143,0,174201
2023-12-11 22:12:14,data/act-mooc/graph.pt,True,False,False,512,5,0.0001,100,100,100,100,0.968962550163269,0.9699546098709106,0.969336748123169,0.4965694717645885,0.5031001208746557,0.49697833158502597,0.010412805449587642,0.00872913983495529,0.009517889625514383,0,132601
2023-12-11 22:19:02,data/act-mooc/graph.pt,False,True,True,512,5,0.0001,100,100,100,100,1.02792227268219,0.8960301280021667,0.881091833114624,0.6714303191519058,0.745853505813648,0.7190610282872592,0.017826033066709913,0.02478755977873728,0.02427099319616601,0,183801
2023-12-11 22:24:51,data/act-mooc/graph.pt,False,True,False,512,5,0.0001,100,100,100,100,0.9681559801101685,0.9689732789993286,0.9686691761016846,0.5044572692575707,0.49793862566926494,0.5122228791619426,0.010514268047847055,0.008525265523888994,0.00986685474904062,0,142201
2023-12-11 22:29:12,data/junyi/graph_sub.pt,True,True,True,2048,5,0.0001,100,100,100,100,0.9835524559020996,0.9024229049682617,0.9444935321807861,0.7802498878764299,0.7753223249762844,0.5935450269126167,0.07751305217967175,0.11696688760019719,0.06057147844080307,0,203201
2023-12-11 22:31:39,data/act-mooc/graph.pt,False,False,True,512,5,0.0001,100,100,100,100,1.0478266477584839,0.9337255954742432,0.9183005690574646,0.6593907373743684,0.7425113472204596,0.7171674737135815,0.016495280376815257,0.021187255196343138,0.02265285520819663,0,174201
2023-12-11 22:37:27,data/act-mooc/graph.pt,False,False,False,512,5,0.0001,100,100,100,100,0.9687201380729675,0.9697247743606567,0.9691396951675415,0.5039742793809807,0.4788854696614869,0.49999117016504735,0.01047997705435097,0.008000548178174374,0.009546580699070611,0,132601
2023-12-11 22:40:08,data/junyi/graph_sub.pt,True,True,False,2048,5,0.0001,100,100,100,100,0.9595039486885071,0.954895555973053,0.9518263936042786,0.5005609563142154,0.497783859581295,0.5056053365221187,0.025018158689142568,0.034488673801372736,0.040652431169700284,0,161201
2023-12-11 22:44:15,data/act-mooc/graph.pt,True,True,True,512,5,0.0001,100,100,100,100,1.0420329570770264,0.91036057472229,0.8948594331741333,0.6612209589319671,0.7427980239621508,0.7215771780553878,0.016503549170123012,0.020788922495316997,0.023875393035261226,1,183801
2023-12-11 22:50:03,data/act-mooc/graph.pt,True,True,False,512,5,0.0001,100,100,100,100,0.9679031372070312,0.9688674211502075,0.9684029221534729,0.5020234028909674,0.4982981412477392,0.5053407927779014,0.010486214178049461,0.008215966900621863,0.010032483641692307,1,142201
2023-12-11 22:52:45,data/junyi/graph_sub.pt,True,False,True,2048,5,0.0001,100,100,100,100,0.9687256813049316,0.8939341306686401,0.9317392110824585,0.7801037238322528,0.778724813302798,0.5968008100634127,0.07998335020201822,0.12417077600979753,0.059865013515156745,0,175001
2023-12-11 22:56:51,data/act-mooc/graph.pt,True,False,True,512,5,0.0001,100,100,100,100,1.0344935655593872,0.8971033096313477,0.8812371492385864,0.6671251207527737,0.7433293821549015,0.7194645446807308,0.017039621699381523,0.021675446441414743,0.02305364464570253,1,174201
2023-12-11 23:02:37,data/act-mooc/graph.pt,True,False,False,512,5,0.0001,100,100,100,100,0.968031644821167,0.969053328037262,0.9685616493225098,0.5009171433451844,0.529101999366786,0.5129235300973755,0.010299018875963484,0.009529405470592325,0.009706659640685247,1,132601
2023-12-11 23:03:39,data/junyi/graph_sub.pt,True,False,False,2048,5,0.0001,100,100,100,100,0.9633523225784302,0.9589226245880127,0.9559575915336609,0.4991125118374884,0.5240823798480866,0.47463419372434135,0.02514840005652662,0.03671467570237391,0.037572310172210265,0,133001
2023-12-11 23:09:21,data/act-mooc/graph.pt,False,True,True,512,5,0.0001,100,100,100,100,1.0432125329971313,0.9104315042495728,0.8944625854492188,0.6581797333201231,0.7409484526634085,0.7175458851203154,0.016263800718296098,0.021393807672276458,0.02396146457969134,1,183801
2023-12-11 23:15:05,data/act-mooc/graph.pt,False,True,False,512,5,0.0001,100,100,100,100,0.9692915081977844,0.9702657461166382,0.9698809385299683,0.49366767779019965,0.5097670374942158,0.5303279400701442,0.010124150262189395,0.008421584694060574,0.010700531159035947,1,142201
2023-12-11 23:16:16,data/junyi/graph_sub.pt,False,True,True,2048,5,0.0001,100,100,100,100,0.9629764556884766,0.8886207938194275,0.9278192520141602,0.7798798917818532,0.7785045280638649,0.5964659681937736,0.07650729619459842,0.12024082745454069,0.05661587604771,0,203201
